data_sessao,categoria,ano_playlist,status,rows_extracted,created,updated,blocked,skipped,titulo,video_id,url,playlist
2016-08-01,1_error_reprocessar,2016,error,0,0,0,0,0,Veja a íntegra da Sessão Plenária do dia 01 de agosto de 2016,UuadKAEzVWQ,https://www.youtube.com/watch?v=UuadKAEzVWQ,2016_PLljYw1P54c4xOLSmKS8Rr9PHJBaI3J8OW
2016-08-02,1_error_reprocessar,2016,error,0,0,0,0,0,Veja a íntegra da Sessão Plenária do dia 02 de Agosto de 2016,ByaaXAoa8ec,https://www.youtube.com/watch?v=ByaaXAoa8ec,2016_PLljYw1P54c4xOLSmKS8Rr9PHJBaI3J8OW
2016-08-09,1_error_reprocessar,2016,error,0,0,0,0,0,Veja a íntegra da Sessão Plenária do dia 09 de Agosto de 2016,WvLVQJAqbEk,https://www.youtube.com/watch?v=WvLVQJAqbEk,2016_PLljYw1P54c4xOLSmKS8Rr9PHJBaI3J8OW
2016-08-16,1_error_reprocessar,2016,error,0,0,0,0,0,Veja a íntegra da Sessão Plenária do dia 16 de Agosto de 2016,Q7nSihaNXBg,https://www.youtube.com/watch?v=Q7nSihaNXBg,2016_PLljYw1P54c4xOLSmKS8Rr9PHJBaI3J8OW
2016-08-23,1_error_reprocessar,2016,error,0,0,0,0,0,Veja a íntegra da Sessão Plenária do dia 23 de Agosto de 2016,u0-GGPEiVCw,https://www.youtube.com/watch?v=u0-GGPEiVCw,2016_PLljYw1P54c4xOLSmKS8Rr9PHJBaI3J8OW
2016-09-01,1_error_reprocessar,2016,error,0,0,0,0,0,Veja a íntegra da Sessão Plenária do dia 01 de setembro de 2016,3w_Qaj5FJnE,https://www.youtube.com/watch?v=3w_Qaj5FJnE,2016_PLljYw1P54c4xOLSmKS8Rr9PHJBaI3J8OW
2018-08-31,1_error_reprocessar,2018,error,0,0,0,0,0,Sessão Plenária Extraordinária do dia 31 de agosto de 2018,ON1Qlbiqr2g,https://www.youtube.com/watch?v=ON1Qlbiqr2g,2018_PLljYw1P54c4wXnMSnF874xn8DXKhw6-6u
2024-02-20,1_error_reprocessar,2024,error,0,0,0,0,0,Sessão Plenária - 20 de Fevereiro de 2024,o7u5y1MRncY,https://www.youtube.com/watch?v=o7u5y1MRncY,2024_PLljYw1P54c4yYbFDcvNEj7bOWY72OzCM0
2024-02-27,1_error_reprocessar,2024,error,0,0,0,0,0,Sessão Plenária - 27 de Fevereiro  de 2024,hr05rWalyGk,https://www.youtube.com/watch?v=hr05rWalyGk,2024_PLljYw1P54c4yYbFDcvNEj7bOWY72OzCM0
2024-05-14,1_error_reprocessar,2024,error,0,0,0,0,0,Sessão Plenária - 14 de Maio de 2024,SXX_dZfBwGU,https://www.youtube.com/watch?v=SXX_dZfBwGU,2024_PLljYw1P54c4yYbFDcvNEj7bOWY72OzCM0
2024-05-21,1_error_reprocessar,2024,error,0,0,0,0,0,Sessão Plenária - 21 de Maio de 2024,P2s1p6eWGW0,https://www.youtube.com/watch?v=P2s1p6eWGW0,2024_PLljYw1P54c4yYbFDcvNEj7bOWY72OzCM0
2024-05-23,1_error_reprocessar,2024,error,0,0,0,0,0,Sessão Plenária - 23 de Maio de 2024,3Q1Lo7ISIhQ,https://www.youtube.com/watch?v=3Q1Lo7ISIhQ,2024_PLljYw1P54c4yYbFDcvNEj7bOWY72OzCM0
2025-02-25,1_error_reprocessar,2025,error,0,0,0,0,0,Sessão Plenária - 25 de Fevereiro 2025,M10XRCKcFrs,https://www.youtube.com/watch?v=M10XRCKcFrs,2025_PLljYw1P54c4xZp8GKvAW8ogzKaKOSbMp7
2020-08-20,2_publicou_mas_sumiu,2020,done,8,2,0,3,3,Sessão Plenária do dia 20 de Agosto de 2020,ZAKV8yOk4uE,https://www.youtube.com/watch?v=ZAKV8yOk4uE,2020_PLljYw1P54c4yrpLWP7tA-4uyNplX1y7pb
2020-08-25,2_publicou_mas_sumiu,2020,done,10,7,0,3,0,Sessão Plenária do dia 25 de Agosto de 2020,dJWnxIs0qQY,https://www.youtube.com/watch?v=dJWnxIs0qQY,2020_PLljYw1P54c4yrpLWP7tA-4uyNplX1y7pb
2020-09-15,2_publicou_mas_sumiu,2020,done,12,5,0,4,3,Sessão Plenária do Dia 15 de Setembro de 2020,vuDMZxhXAfU,https://www.youtube.com/watch?v=vuDMZxhXAfU,2020_PLljYw1P54c4yrpLWP7tA-4uyNplX1y7pb
